"uf","valor","ci_l","ci_u","metodo_ic","prevalencia","li","ls","estimativa_ic","ano"
"Rio de Janeiro",0.050124198009883,0.0404492434646731,0.0613159744116448,"beta",5.0124198009883,4.04492434646731,6.13159744116448,"5,01% [4,04%; 6,13%]",2013
"Rondônia",0.0420038058398107,0.0302050721074227,0.0567136300194623,"beta",4.20038058398107,3.02050721074227,5.67136300194623,"4,20% [3,02%; 5,67%]",2013
"Roraima",0.0456602494493442,0.0334967079700415,0.0606227290718084,"beta",4.56602494493442,3.34967079700415,6.06227290718084,"4,57% [3,35%; 6,06%]",2013
"Santa Catarina",0.043260370833218,0.0309096507532064,0.0587140824919364,"beta",4.3260370833218,3.09096507532064,5.87140824919364,"4,33% [3,09%; 5,87%]",2013
"Sergipe",0.0286735267397948,0.0202857407066302,0.0392784016486829,"beta",2.86735267397948,2.02857407066302,3.92784016486829,"2,87% [2,03%; 3,93%]",2013
"São Paulo",0.0488795677887773,0.0412131279808304,0.0574993349283364,"beta",4.88795677887773,4.12131279808304,5.74993349283364,"4,89% [4,12%; 5,75%]",2013
"Tocantins",0.0496297335166347,0.0355429638413798,0.0671979232420081,"beta",4.96297335166347,3.55429638413798,6.71979232420081,"4,96% [3,55%; 6,72%]",2013
"Brasil",0.0440828372867363,0.041251176385348,0.0470507273603257,"beta",4.40828372867363,4.1251176385348,4.70507273603257,"4,41% [4,13%; 4,71%]",2013
"Acre",0.0386545751606663,0.0299084100390865,0.0490742753285309,"beta",3.86545751606663,2.99084100390865,4.90742753285309,"3,87% [2,99%; 4,91%]",2019
"Alagoas",0.039887513127448,0.0317327396585674,0.0494269063281269,"beta",3.9887513127448,3.17327396585674,4.94269063281268,"3,99% [3,17%; 4,94%]",2019
"Amapá",0.0662827588710168,0.0527109432425,0.0820796490674844,"beta",6.62827588710168,5.27109432425,8.20796490674844,"6,63% [5,27%; 8,21%]",2019
"Amazonas",0.0486036694322778,0.0386480920183193,0.0602334170418142,"beta",4.86036694322778,3.86480920183193,6.02334170418142,"4,86% [3,86%; 6,02%]",2019
"Bahia",0.0355669739454139,0.0261733100611181,0.0471305354177657,"beta",3.55669739454139,2.61733100611181,4.71305354177657,"3,56% [2,62%; 4,71%]",2019
"Ceará",0.0501221766285902,0.0419732180150822,0.0593240596050801,"beta",5.01221766285902,4.19732180150822,5.93240596050801,"5,01% [4,20%; 5,93%]",2019
"Distrito Federal",0.0492832884132986,0.0378388241493162,0.0629524299149978,"beta",4.92832884132986,3.78388241493162,6.29524299149978,"4,93% [3,78%; 6,30%]",2019
"Espírito Santo",0.0670651439095913,0.0566479699867581,0.0787325425877271,"beta",6.70651439095913,5.66479699867581,7.87325425877271,"6,71% [5,66%; 7,87%]",2019
"Goiás",0.0590628504831638,0.0467015029313189,0.0735241704806725,"beta",5.90628504831638,4.67015029313189,7.35241704806725,"5,91% [4,67%; 7,35%]",2019
"Maranhão",0.0383794314292066,0.0314065952675845,0.0463889271949738,"beta",3.83794314292066,3.14065952675845,4.63889271949738,"3,84% [3,14%; 4,64%]",2019
"Mato Grosso",0.0291285536107303,0.0194601445220707,0.0417926271776232,"beta",2.91285536107303,1.94601445220707,4.17926271776232,"2,91% [1,95%; 4,18%]",2019
"Mato Grosso do Sul",0.0495636238905948,0.0414595439999077,0.0587222729914413,"beta",4.95636238905948,4.14595439999077,5.87222729914413,"4,96% [4,15%; 5,87%]",2019
"Minas Gerais",0.0602615301682543,0.051143903363915,0.0704521340119084,"beta",6.02615301682543,5.1143903363915,7.04521340119084,"6,03% [5,11%; 7,05%]",2019
"Paraná",0.0518341521117125,0.0432226728832734,0.0615828840821954,"beta",5.18341521117125,4.32226728832734,6.15828840821954,"5,18% [4,32%; 6,16%]",2019
"Paraíba",0.035684568848397,0.0286057123458517,0.0439308959580359,"beta",3.5684568848397,2.86057123458517,4.39308959580359,"3,57% [2,86%; 4,39%]",2019
"Pará",0.0482569970197317,0.0390222454505088,0.0589290822977574,"beta",4.82569970197317,3.90222454505088,5.89290822977574,"4,83% [3,90%; 5,89%]",2019
"Pernambuco",0.0475481253143203,0.0400482569140981,0.0559881309534672,"beta",4.75481253143203,4.00482569140981,5.59881309534672,"4,75% [4,00%; 5,60%]",2019
"Piauí",0.0461305879543818,0.036629004617989,0.0572456915688876,"beta",4.61305879543818,3.6629004617989,5.72456915688876,"4,61% [3,66%; 5,72%]",2019
"Rio Grande do Norte",0.0502431639810395,0.0408103094335317,0.0611087495145729,"beta",5.02431639810395,4.08103094335317,6.11087495145729,"5,02% [4,08%; 6,11%]",2019
"Rio Grande do Sul",0.0855406689205886,0.0724423787032701,0.100145703780863,"beta",8.55406689205886,7.24423787032701,10.0145703780863,"8,55% [7,24%; 10,01%]",2019
"Rio de Janeiro",0.0460420870332814,0.0376910579816449,0.0556198366975493,"beta",4.60420870332814,3.76910579816449,5.56198366975493,"4,60% [3,77%; 5,56%]",2019
"Rondônia",0.0343165682673175,0.0269843654241725,0.0429686617543064,"beta",3.43165682673175,2.69843654241725,4.29686617543064,"3,43% [2,70%; 4,30%]",2019
"Roraima",0.058477616069634,0.0402907741565555,0.0816306044664046,"beta",5.8477616069634,4.02907741565554,8.16306044664046,"5,85% [4,03%; 8,16%]",2019
"Santa Catarina",0.0508411338602885,0.0417829299108955,0.0611949733933859,"beta",5.08411338602885,4.17829299108955,6.11949733933859,"5,08% [4,18%; 6,12%]",2019
"Sergipe",0.0463543792356262,0.0362031006952511,0.0583557381373012,"beta",4.63543792356262,3.62031006952511,5.83557381373012,"4,64% [3,62%; 5,84%]",2019
"São Paulo",0.0640114548738738,0.055386724317839,0.0735253382956278,"beta",6.40114548738738,5.5386724317839,7.35253382956278,"6,40% [5,54%; 7,35%]",2019
"Tocantins",0.0436332076146551,0.0326722905566757,0.0569513616334741,"beta",4.36332076146551,3.26722905566757,5.69513616334741,"4,36% [3,27%; 5,70%]",2019
"Brasil",0.0540126923821393,0.0512634373693197,0.0568645986164471,"beta",5.40126923821393,5.12634373693197,5.68645986164471,"5,40% [5,13%; 5,69%]",2019
