"uf","asma_medic","ci_l","ci_u","pct_medic_asma","li","ls","metodo_ic","estimativa_ic","ano"
"Rio Grande do Norte",0.685262916546272,0.382126845929598,0.903474989825999,68.5262916546272,38.2126845929598,90.3474989825999,"beta","68,53% [38,21%; 90,35%]",2013
"Rio Grande do Sul",0.831853570710226,0.646527052376635,0.944336907359141,83.1853570710227,64.6527052376635,94.4336907359141,"beta","83,19% [64,65%; 94,43%]",2013
"Rio de Janeiro",0.919840238444763,0.82454489947502,0.972921614540348,91.9840238444763,82.454489947502,97.2921614540348,"beta","91,98% [82,45%; 97,29%]",2013
"Rondônia",0.799357834784863,0.586813901750042,0.933424058128385,79.9357834784863,58.6813901750042,93.3424058128385,"beta","79,94% [58,68%; 93,34%]",2013
"Roraima",0.816938773856002,0.566126106766281,0.956675861457472,81.6938773856002,56.6126106766281,95.6675861457472,"beta","81,69% [56,61%; 95,67%]",2013
"Santa Catarina",0.670058488732473,0.308617563542182,0.923868158578268,67.0058488732473,30.8617563542182,92.3868158578268,"beta","67,01% [30,86%; 92,39%]",2013
"Sergipe",0.875815903629373,0.599178036852597,0.987240551697274,87.5815903629373,59.9178036852597,98.7240551697274,"beta","87,58% [59,92%; 98,72%]",2013
"São Paulo",0.884553558899754,0.801194558149304,0.941707787056635,88.4553558899754,80.1194558149304,94.1707787056635,"beta","88,46% [80,12%; 94,17%]",2013
"Tocantins",0.669691827355977,0.366131522803679,0.894909034484591,66.9691827355977,36.6131522803679,89.4909034484591,"beta","66,97% [36,61%; 89,49%]",2013
"Brasil",0.815001008182327,0.770878292949064,0.853832993345377,81.5001008182328,77.0878292949064,85.3832993345377,"beta","81,50% [77,09%; 85,38%]",2013
"Acre",0.544707927086594,0.315810753861788,0.760520470947676,54.4707927086594,31.5810753861788,76.0520470947676,"beta","54,47% [31,58%; 76,05%]",2019
"Alagoas",0.620403343428925,0.431679627590342,0.785772369906242,62.0403343428925,43.1679627590342,78.5772369906242,"beta","62,04% [43,17%; 78,58%]",2019
"Amapá",0.673025469255646,0.319341527778347,0.921601888695982,67.3025469255646,31.9341527778347,92.1601888695982,"beta","67,30% [31,93%; 92,16%]",2019
"Amazonas",0.467007048614565,0.237446059244797,0.707333887160088,46.7007048614565,23.7446059244797,70.7333887160088,"beta","46,70% [23,74%; 70,73%]",2019
"Bahia",0.740377203691319,0.423688838932876,0.938636582579395,74.0377203691319,42.3688838932876,93.8636582579395,"beta","74,04% [42,37%; 93,86%]",2019
"Ceará",0.444901982641944,0.301884910551774,0.59492517982855,44.4901982641944,30.1884910551774,59.492517982855,"beta","44,49% [30,19%; 59,49%]",2019
