"uf","valor","ci_l","ci_u","metodo_ic","prevalencia","li","ls","estimativa_ic","ano"
"Paraíba",0.457197530732008,0.301427296091859,0.619341757092322,"beta",45.7197530732008,30.1427296091859,61.9341757092322,"45,72% [30,14%; 61,93%]",2013
"Pará",0.227540891050877,0.127297373532087,0.357251964367403,"beta",22.7540891050877,12.7297373532087,35.7251964367403,"22,75% [12,73%; 35,73%]",2013
"Pernambuco",0.397071234164936,0.281962982990009,0.52118262423267,"beta",39.7071234164936,28.1962982990009,52.118262423267,"39,71% [28,20%; 52,12%]",2013
"Piauí",0.497537719838411,0.289417658517794,0.706285287335639,"beta",49.7537719838411,28.9417658517794,70.6285287335639,"49,75% [28,94%; 70,63%]",2013
"Rio Grande do Norte",0.511340392980872,0.335510319814028,0.685140914997766,"beta",51.1340392980872,33.5510319814028,68.5140914997766,"51,13% [33,55%; 68,51%]",2013
"Rio Grande do Sul",0.361724680090096,0.255814628515851,0.478495653752572,"beta",36.1724680090096,25.5814628515851,47.8495653752571,"36,17% [25,58%; 47,85%]",2013
"Rio de Janeiro",0.331409904754386,0.238111908539024,0.435559644259051,"beta",33.1409904754386,23.8111908539024,43.5559644259051,"33,14% [23,81%; 43,56%]",2013
"Rondônia",0.333653360898866,0.178305461446807,0.520848652418302,"beta",33.3653360898866,17.8305461446807,52.0848652418302,"33,37% [17,83%; 52,08%]",2013
"Roraima",0.365300584988252,0.225356632067684,0.524136226304506,"beta",36.5300584988252,22.5356632067684,52.4136226304506,"36,53% [22,54%; 52,41%]",2013
"Santa Catarina",0.408347769505938,0.238124101916703,0.596339856279727,"beta",40.8347769505938,23.8124101916703,59.6339856279727,"40,83% [23,81%; 59,63%]",2013
"Sergipe",0.479175095995594,0.304899775391088,0.65723981108283,"beta",47.9175095995594,30.4899775391088,65.723981108283,"47,92% [30,49%; 65,72%]",2013
"São Paulo",0.446795510443927,0.360604105374794,0.535408260522703,"beta",44.6795510443927,36.0604105374794,53.5408260522703,"44,68% [36,06%; 53,54%]",2013
"Tocantins",0.330485547309624,0.21533942136667,0.462707326295917,"beta",33.0485547309624,21.533942136667,46.2707326295917,"33,05% [21,53%; 46,27%]",2013
"Brasil",0.382856824620569,0.349298468511191,0.417268259397837,"beta",38.2856824620569,34.9298468511191,41.7268259397837,"38,29% [34,93%; 41,73%]",2013
"Acre",0.301444739962294,0.196147204450673,0.424654720747442,"beta",30.1444739962294,19.6147204450673,42.4654720747442,"30,14% [19,61%; 42,47%]",2019
"Alagoas",0.404257366508701,0.299268025339116,0.516097978370431,"beta",40.4257366508701,29.9268025339116,51.6097978370431,"40,43% [29,93%; 51,61%]",2019
"Amapá",0.196274552633924,0.12413749520533,0.286832553394212,"beta",19.6274552633924,12.413749520533,28.6832553394212,"19,63% [12,41%; 28,68%]",2019
"Amazonas",0.252555020406179,0.166875429409658,0.3551141703403,"beta",25.2555020406179,16.6875429409658,35.51141703403,"25,26% [16,69%; 35,51%]",2019
"Bahia",0.247005513925075,0.139592415210931,0.383598782508654,"beta",24.7005513925075,13.9592415210931,38.3598782508654,"24,70% [13,96%; 38,36%]",2019
"Ceará",0.475650748988822,0.384758067520219,0.567746398826856,"beta",47.5650748988822,38.4758067520219,56.7746398826856,"47,57% [38,48%; 56,77%]",2019
"Distrito Federal",0.269739596039482,0.17628710604364,0.380994756463411,"beta",26.9739596039482,17.628710604364,38.0994756463411,"26,97% [17,63%; 38,10%]",2019
"Espírito Santo",0.343476086378842,0.258578366121019,0.43642767270364,"beta",34.3476086378842,25.8578366121019,43.642767270364,"34,35% [25,86%; 43,64%]",2019
"Goiás",0.333128762912094,0.234749460985495,0.443467775154064,"beta",33.3128762912094,23.4749460985495,44.3467775154064,"33,31% [23,47%; 44,35%]",2019
"Maranhão",0.312049521567691,0.231010183120219,0.402525387374549,"beta",31.2049521567691,23.1010183120219,40.2525387374549,"31,20% [23,10%; 40,25%]",2019
"Mato Grosso",0.339289513753097,0.185568442210757,0.522568527764442,"beta",33.9289513753097,18.5568442210757,52.2568527764442,"33,93% [18,56%; 52,26%]",2019
"Mato Grosso do Sul",0.358381126196932,0.265977038487162,0.459215184623718,"beta",35.8381126196932,26.5977038487162,45.9215184623718,"35,84% [26,60%; 45,92%]",2019
"Minas Gerais",0.381768800815999,0.306495169615531,0.461473604615721,"beta",38.1768800815999,30.6495169615531,46.1473604615721,"38,18% [30,65%; 46,15%]",2019
"Paraná",0.369426450244129,0.282808482647054,0.462705507734502,"beta",36.9426450244129,28.2808482647054,46.2705507734502,"36,94% [28,28%; 46,27%]",2019
"Paraíba",0.493718602375824,0.374082401689323,0.613884630838966,"beta",49.3718602375824,37.4082401689323,61.3884630838966,"49,37% [37,41%; 61,39%]",2019
"Pará",0.272709333570397,0.189738310278697,0.369133296598041,"beta",27.2709333570397,18.9738310278697,36.9133296598041,"27,27% [18,97%; 36,91%]",2019
"Pernambuco",0.434902581554165,0.346526293009928,0.526432921897494,"beta",43.4902581554165,34.6526293009928,52.6432921897494,"43,49% [34,65%; 52,64%]",2019
"Piauí",0.428492383987935,0.288676796418927,0.577193809642093,"beta",42.8492383987935,28.8676796418927,57.7193809642093,"42,85% [28,87%; 57,72%]",2019
"Rio Grande do Norte",0.292000467726577,0.206514419089736,0.389837749859238,"beta",29.2000467726577,20.6514419089736,38.9837749859238,"29,20% [20,65%; 38,98%]",2019
"Rio Grande do Sul",0.389664381558087,0.320084011180101,0.462726772189636,"beta",38.9664381558087,32.0084011180101,46.2726772189636,"38,97% [32,01%; 46,27%]",2019
"Rio de Janeiro",0.327877247094699,0.253649008186275,0.409035125978564,"beta",32.7877247094699,25.3649008186275,40.9035125978563,"32,79% [25,36%; 40,90%]",2019
"Rondônia",0.251919661596426,0.153971018128771,0.372643621344523,"beta",25.1919661596426,15.3971018128771,37.2643621344523,"25,19% [15,40%; 37,26%]",2019
"Roraima",0.270631627398349,0.179546327318876,0.378436573203778,"beta",27.0631627398349,17.9546327318876,37.8436573203778,"27,06% [17,95%; 37,84%]",2019
"Santa Catarina",0.323244304886041,0.236804865775129,0.419566958232206,"beta",32.3244304886041,23.6804865775129,41.9566958232206,"32,32% [23,68%; 41,96%]",2019
"Sergipe",0.394292208434411,0.259304688851672,0.542214434887449,"beta",39.4292208434411,25.9304688851672,54.2214434887449,"39,43% [25,93%; 54,22%]",2019
"São Paulo",0.437551467362418,0.363094623270531,0.514144087707642,"beta",43.7551467362418,36.3094623270531,51.4144087707642,"43,76% [36,31%; 51,41%]",2019
"Tocantins",0.352355939540775,0.218082491662156,0.506179051109567,"beta",35.2355939540775,21.8082491662156,50.6179051109567,"35,24% [21,81%; 50,62%]",2019
"Brasil",0.377134888823384,0.351485540283047,0.403308691412923,"beta",37.7134888823384,35.1485540283047,40.3308691412923,"37,71% [35,15%; 40,33%]",2019
